"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.argnum","Input.corpus_id","Input.hit_file_format_version","Input.predicate_lemma","Input.predicate_progressive","Input.predicate_token_id","Input.roleset","Input.sampling_method","Input.sentence_id","Input.sentences_and_args_as_json","Answer.awareness","Answer.awareness_grammatical","Answer.awareness_makes_sense","Answer.change_of_location","Answer.change_of_location_grammatical","Answer.change_of_location_makes_sense","Answer.change_of_possession","Answer.change_of_possession_grammatical","Answer.change_of_possession_makes_sense","Answer.change_of_state","Answer.change_of_state_grammatical","Answer.change_of_state_makes_sense","Answer.dynamic","Answer.dynamic_grammatical","Answer.dynamic_makes_sense","Answer.existed_after","Answer.existed_after_grammatical","Answer.existed_after_makes_sense","Answer.existed_before","Answer.existed_before_grammatical","Answer.existed_before_makes_sense","Answer.existed_during","Answer.existed_during_grammatical","Answer.existed_during_makes_sense","Answer.instigation","Answer.instigation_grammatical","Answer.instigation_makes_sense","Answer.partitive","Answer.partitive_grammatical","Answer.partitive_makes_sense","Answer.question_presentation_order","Answer.sentence_grammatical","Answer.sentient","Answer.sentient_grammatical","Answer.sentient_makes_sense","Answer.volition","Answer.volition_grammatical","Answer.volition_makes_sense","Answer.was_for_benefit","Answer.was_for_benefit_grammatical","Answer.was_for_benefit_makes_sense","Answer.was_used","Answer.was_used_grammatical","Answer.was_used_makes_sense","Turkle.Username"
"833297","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46605","129","Tue Oct 24 20:15:14 UTC 2023","Tue Oct 24 20:15:18 UTC 2023","4","These people","VQA","2.0.0","to be on one""s cell phone","being on one""s cell phone","(2, 6)","","it-happened","157125001","{""argument_phrase"": ""These people"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">These people</span><span class=\\\""predicate\\\"">are on their cell phones</span>""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","jgualla1"
"833298","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46555","129","Tue Oct 24 18:52:56 UTC 2023","Tue Oct 24 18:54:06 UTC 2023","70","It","VQA","2.0.0","to be dark","being dark","(1, 2)","","it-happened","262705000","{""argument_phrase"": ""It"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">It</span><span class=\\\""predicate\\\"">is dark</span>""}","1","true","yes","1","true","yes","1","true","yes","1","true","yes","1","true","yes","1","true","yes","1","true","yes","1","true","yes","1","true","yes","1","true","yes","was_for_benefit dynamic sentient change_of_location instigation awareness was_used volition partitive change_of_state change_of_possession existed_before existed_during existed_after","5","1","true","yes","1","true","yes","1","true","yes","1","true","yes","jgualla1"
"833299","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46556","129","Tue Oct 24 18:54:06 UTC 2023","Tue Oct 24 18:55:11 UTC 2023","65","This photograph","VQA","2.0.0","to be blurry","being blurry","(2, 3)","","it-happened","262705005","{""argument_phrase"": ""This photograph"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">This photograph</span><span class=\\\""predicate\\\"">is blurry</span>""}","1","true","yes","3","true","yes","3","true","yes","3","true","yes","1","true","yes","3","true","no","2","true","yes","5","true","yes","2","true","yes","3","true","yes","change_of_possession partitive was_used existed_before existed_during existed_after change_of_location change_of_state was_for_benefit instigation volition awareness sentient dynamic","5","1","true","yes","1","true","yes","1","true","yes","2","true","yes","jgualla1"
"833300","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46557","129","Tue Oct 24 18:55:11 UTC 2023","Tue Oct 24 18:55:58 UTC 2023","47","The child","VQA","2.0.0","to be happy","being happy","(2, 3)","","it-happened","262705007","{""argument_phrase"": ""The child"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The child</span><span class=\\\""predicate\\\"">is happy</span>""}","4","true","yes","3","true","yes","3","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","3","true","yes","2","true","yes","partitive existed_before existed_during existed_after change_of_state instigation change_of_location sentient awareness dynamic was_used volition was_for_benefit change_of_possession","5","5","true","yes","4","true","yes","3","true","yes","3","true","yes","jgualla1"
"833301","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46558","129","Tue Oct 24 18:55:58 UTC 2023","Tue Oct 24 18:57:15 UTC 2023","77","stripes on the runway","VQA","2.0.0","to stripe","striping","(1, 2)","","it-happened","524925003","{""argument_phrase"": ""stripes on the runway"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">stripes on the runway</span><span class=\\\""predicate\\\"">are stripes</span>""}","1","true","yes","3","true","yes","3","true","yes","3","true","yes","1","true","yes","4","true","yes","1","true","yes","5","true","yes","3","true","yes","2","true","yes","was_for_benefit awareness existed_before existed_during existed_after volition sentient partitive dynamic change_of_state instigation was_used change_of_location change_of_possession","5","1","true","yes","1","true","yes","1","true","yes","4","true","yes","jgualla1"
"833302","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46559","129","Tue Oct 24 18:57:15 UTC 2023","Tue Oct 24 18:58:12 UTC 2023","57","All of the surfboards","VQA","2.0.0","to be upside down","being upside down","(4, 6)","","it-happened","673000","{""argument_phrase"": ""All of the surfboards"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">All of the surfboards</span><span class=\\\""predicate\\\"">are upside down</span>""}","1","true","yes","3","true","yes","3","true","yes","3","true","","2","true","yes","5","true","yes","5","true","yes","5","true","yes","2","true","","2","true","yes","was_used instigation change_of_possession dynamic change_of_location awareness existed_before existed_during existed_after volition change_of_state sentient partitive was_for_benefit","5","1","true","yes","1","true","yes","1","true","yes","3","true","yes","jgualla1"
"833303","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46560","129","Tue Oct 24 18:58:12 UTC 2023","Tue Oct 24 19:05:09 UTC 2023","417","sign","VQA","2.0.0","to say","saying","(2, 3)","","it-happened","393922005","{""argument_phrase"": ""sign"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">sign</span><span class=\\\""predicate\\\"">says SLOW</span>""}","4","true","yes","3","true","yes","3","true","yes","3","true","yes","3","true","yes","3","true","no","3","true","yes","5","true","yes","4","true","yes","3","true","yes","awareness dynamic volition was_for_benefit sentient change_of_location was_used partitive change_of_possession change_of_state existed_before existed_during existed_after instigation","5","1","true","yes","1","true","yes","1","true","yes","5","true","yes","jgualla1"
"833304","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46561","129","Tue Oct 24 19:05:09 UTC 2023","Tue Oct 24 19:08:12 UTC 2023","183","The police","VQA","2.0.0","to be","being","(2, 3)","","it-happened","480717002","{""argument_phrase"": ""The police"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The police</span><span class=\\\""predicate\\\"">are there</span>""}","5","true","yes","3","true","yes","3","true","yes","3","true","yes","4","true","yes","5","true","yes","5","true","yes","5","true","yes","4","true","yes","2","true","yes","awareness existed_before existed_during existed_after partitive dynamic instigation volition was_for_benefit change_of_possession sentient change_of_location was_used change_of_state","5","5","true","yes","5","true","yes","3","true","yes","3","true","yes","jgualla1"
"833305","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46562","129","Tue Oct 24 19:08:12 UTC 2023","Tue Oct 24 19:09:04 UTC 2023","52","The man","VQA","2.0.0","to smile","smiling","(2, 3)","","it-happened","525012000","{""argument_phrase"": ""The man"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The man</span><span class=\\\""predicate\\\"">is smiling</span>""}","5","true","yes","3","true","yes","3","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","5","true","yes","4","true","yes","was_used existed_before existed_during existed_after instigation was_for_benefit change_of_possession change_of_state volition change_of_location partitive dynamic awareness sentient","5","5","true","yes","5","true","yes","4","true","yes","2","true","yes","jgualla1"
"833306","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46563","129","Tue Oct 24 19:09:05 UTC 2023","Tue Oct 24 19:13:40 UTC 2023","275","He","VQA","2.0.0","to use","using","(1, 2)","","it-happened","525015000","{""argument_phrase"": ""He"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">He</span><span class=\\\""predicate\\\"">is using</span>""}","5","true","yes","4","true","yes","3","true","yes","4","true","yes","4","true","yes","5","true","yes","5","true","yes","5","true","yes","5","true","yes","3","true","yes","existed_before existed_during existed_after was_for_benefit instigation dynamic was_used partitive change_of_possession change_of_location volition awareness sentient change_of_state","5","5","true","yes","5","true","yes","4","true","yes","3","true","yes","jgualla1"
"833307","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46564","129","Tue Oct 24 19:13:40 UTC 2023","Tue Oct 24 19:14:59 UTC 2023","79","These people","VQA","2.0.0","to carry umbrellas","carrying umbrellas","(2, 4)","","it-happened","393985001","{""argument_phrase"": ""These people"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">These people</span><span class=\\\""predicate\\\"">are carrying umbrellas</span>""}","","true","","3","true","yes","3","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","5","true","yes","4","true","yes","was_for_benefit awareness partitive existed_before existed_during existed_after change_of_state volition sentient dynamic was_used change_of_possession change_of_location instigation","5","5","true","yes","5","true","yes","5","true","yes","4","true","yes","jgualla1"
"833308","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46565","129","Tue Oct 24 19:14:59 UTC 2023","Tue Oct 24 19:15:49 UTC 2023","50","He","VQA","2.0.0","to not wear","not wearing","(1, 3)","","it-happened","525100000","{""argument_phrase"": ""He"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">He</span><span class=\\\""predicate\\\"">is not wearing</span>""}","4","true","yes","3","true","yes","3","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","4","true","yes","4","true","yes","awareness change_of_state partitive volition dynamic sentient was_used instigation change_of_possession change_of_location existed_before existed_during existed_after was_for_benefit","5","5","true","yes","4","true","yes","3","true","yes","3","true","yes","jgualla1"
"833309","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46566","129","Tue Oct 24 19:15:49 UTC 2023","Tue Oct 24 19:17:52 UTC 2023","123","The bike","VQA","2.0.0","to be connected to the pole","being connected to the pole","(2, 6)","","it-happened","262967000","{""argument_phrase"": ""The bike"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The bike</span><span class=\\\""predicate\\\"">is connected to the pole</span>""}","1","true","","","true","","3","true","yes","3","true","yes","2","true","yes","5","true","yes","5","true","yes","5","true","yes","1","true","yes","4","true","yes","change_of_state change_of_possession dynamic change_of_location awareness was_used sentient was_for_benefit volition instigation partitive existed_before existed_during existed_after","5","1","true","yes","1","true","yes","2","true","yes","2","true","yes","jgualla1"
"833310","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46567","129","Tue Oct 24 19:17:52 UTC 2023","Tue Oct 24 19:20:34 UTC 2023","162","Her outfit","VQA","2.0.0","to be impractical","being impractical","(2, 3)","","it-happened","262967008","{""argument_phrase"": ""Her outfit"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">Her outfit</span><span class=\\\""predicate\\\"">is impractical</span>""}","1","true","yes","3","true","yes","3","true","yes","2","true","yes","3","true","yes","3","true","no","2","true","yes","5","true","yes","1","true","yes","3","true","yes","awareness instigation volition sentient change_of_state change_of_possession was_used existed_before existed_during existed_after dynamic change_of_location was_for_benefit partitive","5","1","true","yes","1","true","yes","1","true","yes","4","true","yes","jgualla1"
"833311","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46568","129","Tue Oct 24 19:20:34 UTC 2023","Tue Oct 24 19:27:21 UTC 2023","407","tables","VQA","2.0.0","to make (something) of stainless steel","making (something) of stainless steel","(2, 7)","","it-happened","131909035","{""argument_phrase"": ""tables"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">tables</span><span class=\\\""predicate\\\"">must be made of stainless steel</span>""}","1","true","yes","3","true","yes","3","true","yes","3","true","yes","2","true","yes","3","true","yes","2","true","yes","5","true","yes","2","true","yes","2","true","yes","change_of_state was_for_benefit sentient change_of_location volition dynamic awareness was_used change_of_possession existed_before existed_during existed_after partitive instigation","5","1","true","yes","1","true","yes","4","true","yes","1","true","yes","jgualla1"
"833312","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46569","129","Tue Oct 24 19:27:21 UTC 2023","Tue Oct 24 19:30:22 UTC 2023","181","an umbrella","VQA","2.0.0","to be an umbrella on top of this truck in the foreground","being an umbrella on top of this truck in the foreground","(1, 11)","","it-happened","263002005","{""argument_phrase"": ""an umbrella"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">an umbrella</span><span class=\\\""predicate\\\"">is an umbrella on top of this truck in the foreground</span>""}","1","true","yes","3","true","yes","3","true","yes","3","true","yes","2","true","yes","4","true","yes","5","true","yes","5","true","yes","2","true","yes","2","true","yes","existed_before existed_during existed_after change_of_possession awareness was_used was_for_benefit dynamic change_of_state change_of_location sentient instigation volition partitive","5","1","true","yes","1","true","yes","2","true","yes","2","true","yes","jgualla1"
"833313","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46570","129","Tue Oct 24 19:30:23 UTC 2023","Tue Oct 24 19:32:00 UTC 2023","97","The ground","VQA","2.0.0","to be white","being white","(2, 3)","","it-happened","436481001","{""argument_phrase"": ""The ground"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The ground</span><span class=\\\""predicate\\\"">is white</span>""}","1","true","yes","2","true","yes","3","true","yes","3","true","yes","2","true","yes","3","true","yes","3","true","yes","5","true","yes","2","true","yes","3","true","yes","change_of_location was_used change_of_possession sentient awareness change_of_state existed_before existed_during existed_after volition dynamic was_for_benefit instigation partitive","5","1","true","yes","1","true","yes","2","true","yes","4","true","yes","jgualla1"
"833314","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46571","129","Tue Oct 24 19:32:00 UTC 2023","Tue Oct 24 19:33:12 UTC 2023","72","The men","VQA","2.0.0","to wear an apron","wearing an apron","(2, 4)","","it-happened","525180001","{""argument_phrase"": ""The men"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The men</span><span class=\\\""predicate\\\"">are wearing aprons</span>""}","5","true","yes","3","true","yes","3","true","yes","3","true","yes","4","true","yes","5","true","yes","5","true","yes","5","true","yes","4","true","yes","4","true","yes","change_of_state volition was_for_benefit existed_before existed_during existed_after instigation awareness dynamic change_of_location was_used change_of_possession sentient partitive","5","5","true","yes","5","true","yes","4","true","yes","4","true","yes","jgualla1"
"833315","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46572","129","Tue Oct 24 19:33:12 UTC 2023","Tue Oct 24 19:34:37 UTC 2023","85","The door","VQA","2.0.0","to open","opening","(2, 3)","","it-happened","497558001","{""argument_phrase"": ""The door"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The door</span><span class=\\\""predicate\\\"">is open</span>""}","1","true","yes","3","true","yes","3","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","4","true","yes","2","true","yes","change_of_possession change_of_state change_of_location dynamic awareness existed_before existed_during existed_after volition instigation was_for_benefit sentient partitive was_used","5","1","true","yes","1","true","yes","2","true","yes","4","true","yes","jgualla1"
"833316","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46573","129","Tue Oct 24 19:34:37 UTC 2023","Tue Oct 24 19:44:58 UTC 2023","621","We","VQA","2.0.0","to be able to see through","being able to see through","(1, 5)","","it-happened","525223000","{""argument_phrase"": ""We"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">We</span><span class=\\\""predicate\\\"">are able to see through</span>""}","4","true","yes","3","true","yes","3","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","3","true","yes","3","true","yes","instigation sentient existed_before existed_during existed_after volition change_of_location was_for_benefit dynamic partitive awareness was_used change_of_possession change_of_state","5","5","true","yes","4","true","yes","3","true","yes","3","true","yes","jgualla1"
