hit_file_format_version,corpus_id,video_id,predicate_token_id,roleset,predicate_lemma,predicate_progressive,argnum,sentences_and_args_as_json,sampling_method
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000525012.jpg,"(0,0)",,The lemma of is smiling is to smile,s,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is smiling</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000525015.jpg,"(0,0)",,to use ski poles,u,He,"{'argument_phrase': 'He', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">He</span><span class=\\\\\\""predicate\\\\\\"">is using ski poles</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000393985.jpg,"(0,0)",,to carry,c,These people,"{'argument_phrase': 'These people', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">These people</span><span class=\\\\\\""predicate\\\\\\"">are carrying umbrellas</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000525100.jpg,"(0,0)",,to wear,w,He,"{'argument_phrase': 'He', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">He</span><span class=\\\\\\""predicate\\\\\\"">isn\'t wearing shoes</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262967.jpg,"(0,0)",,to connect,c,The bike,"{'argument_phrase': 'The bike', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The bike</span><span class=\\\\\\""predicate\\\\\\"">is connected to the pole</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262967.jpg,"(0,0)",,to be impractical for this activity,b,Her outfit,"{'argument_phrase': 'Her outfit', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">Her outfit</span><span class=\\\\\\""predicate\\\\\\"">is impractical for this activity</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000131909.jpg,"(0,0)",,to be made of stainless steel,b,The tables,"{'argument_phrase': 'The tables', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The tables</span><span class=\\\\\\""predicate\\\\\\"">must be made of stainless steel in this environment</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000263002.jpg,"(0,0)",,to be an umbrella on top of this truck in the foreground,b,umbrella,"{'argument_phrase': 'umbrella', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">umbrella</span><span class=\\\\\\""predicate\\\\\\"">is an umbrella on top of this truck in the foreground</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000436481.jpg,"(0,0)",,to be white,b,The ground,"{'argument_phrase': 'The ground', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The ground</span><span class=\\\\\\""predicate\\\\\\"">is white</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000525180.jpg,"(0,0)",,to wear aprons,w,The men,"{'argument_phrase': 'The men', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The men</span><span class=\\\\\\""predicate\\\\\\"">are wearing aprons</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000497558.jpg,"(0,0)",,to be open,b,The door,"{'argument_phrase': 'The door', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The door</span><span class=\\\\\\""predicate\\\\\\"">is open</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000525223.jpg,"(0,0)",,to see through the chair back,s,We,"{'argument_phrase': 'We', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">We</span><span class=\\\\\\""predicate\\\\\\"">are able to see through the chair back</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000000941.jpg,"(0,0)",,to disappear,d,Palm pilots,"{'argument_phrase': 'Palm pilots', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">Palm pilots</span><span class=\\\\\\""predicate\\\\\\"">have disappeared</span>'}",it-happened
