hit_file_format_version,corpus_id,sentence_id,predicate_token_id,roleset,predicate_lemma,predicate_progressive,argnum,sentences_and_args_as_json,sampling_method
2.0.0,VQA,480717002,"(2, 3)",,to be,being,The police,"{'argument_phrase': 'The police', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The police</span><span class=\\\\\\""predicate\\\\\\"">are there</span>'}",it-happened
2.0.0,VQA,525012000,"(2, 3)",,to smile,smiling,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is smiling</span>'}",it-happened
2.0.0,VQA,525015000,"(1, 2)",,to use,using,He,"{'argument_phrase': 'He', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">He</span><span class=\\\\\\""predicate\\\\\\"">is using</span>'}",it-happened
2.0.0,VQA,393985001,"(2, 4)",,to carry umbrellas,carrying umbrellas,These people,"{'argument_phrase': 'These people', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">These people</span><span class=\\\\\\""predicate\\\\\\"">are carrying umbrellas</span>'}",it-happened
2.0.0,VQA,525100000,"(1, 3)",,to not wear,not wearing,He,"{'argument_phrase': 'He', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">He</span><span class=\\\\\\""predicate\\\\\\"">is not wearing</span>'}",it-happened
2.0.0,VQA,262967000,"(2, 6)",,to be connected to the pole,being connected to the pole,The bike,"{'argument_phrase': 'The bike', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The bike</span><span class=\\\\\\""predicate\\\\\\"">is connected to the pole</span>'}",it-happened
2.0.0,VQA,262967008,"(2, 3)",,to be impractical,being impractical,Her outfit,"{'argument_phrase': 'Her outfit', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">Her outfit</span><span class=\\\\\\""predicate\\\\\\"">is impractical</span>'}",it-happened
2.0.0,VQA,131909035,"(2, 7)",,to make (something) of stainless steel,making (something) of stainless steel,tables,"{'argument_phrase': 'tables', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">tables</span><span class=\\\\\\""predicate\\\\\\"">must be made of stainless steel</span>'}",it-happened
2.0.0,VQA,263002005,"(1, 11)",,to be an umbrella on top of this truck in the foreground,being an umbrella on top of this truck in the foreground,an umbrella,"{'argument_phrase': 'an umbrella', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">an umbrella</span><span class=\\\\\\""predicate\\\\\\"">is an umbrella on top of this truck in the foreground</span>'}",it-happened
2.0.0,VQA,436481001,"(2, 3)",,to be white,being white,The ground,"{'argument_phrase': 'The ground', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The ground</span><span class=\\\\\\""predicate\\\\\\"">is white</span>'}",it-happened
2.0.0,VQA,525180001,"(2, 4)",,to wear an apron,wearing an apron,The men,"{'argument_phrase': 'The men', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The men</span><span class=\\\\\\""predicate\\\\\\"">are wearing aprons</span>'}",it-happened
2.0.0,VQA,497558001,"(2, 3)",,to open,opening,The door,"{'argument_phrase': 'The door', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The door</span><span class=\\\\\\""predicate\\\\\\"">is open</span>'}",it-happened
2.0.0,VQA,525223000,"(1, 5)",,to be able to see through,being able to see through,We,"{'argument_phrase': 'We', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">We</span><span class=\\\\\\""predicate\\\\\\"">are able to see through</span>'}",it-happened
2.0.0,VQA,941004,"(2, 3)",,to disappear,disappearing,Palm pilots,"{'argument_phrase': 'Palm pilots', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">Palm pilots</span><span class=\\\\\\""predicate\\\\\\"">have disappeared</span>'}",it-happened
2.0.0,VQA,955000,"(1, 3)",,to be on display,being on display,they,"{'argument_phrase': 'they', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">they</span><span class=\\\\\\""predicate\\\\\\"">are on display</span>'}",it-happened
2.0.0,VQA,525300001,"(1, 3)",,to wear head protection,wearing head protection,they,"{'argument_phrase': 'they', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">they</span><span class=\\\\\\""predicate\\\\\\"">wear head protection</span>'}",it-happened
2.0.0,VQA,394286005,"(3, 9)",,to seem,seeming,The woman's feet,"{'argument_phrase': ""The woman's feet"", 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The woman\'s feet</span><span class=\\\\\\""predicate\\\\\\"">seem to be off of the ground</span>'}",it-happened
2.0.0,VQA,270636009,"(3, 4)",,to be upraised,being upraised,person's arm,"{'argument_phrase': ""person's arm"", 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">person\'s arm</span><span class=\\\\\\""predicate\\\\\\"">is upraised</span>'}",it-happened
2.0.0,VQA,525380000,"(1, 2)",,to come,coming,smoke,"{'argument_phrase': 'smoke', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">smoke</span><span class=\\\\\\""predicate\\\\\\"">is coming</span>'}",it-happened
2.0.0,VQA,410302003,"(2, 6)",,to sit on a cushion,sitting on a cushion,The woman,"{'argument_phrase': 'The woman', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The woman</span><span class=\\\\\\""predicate\\\\\\"">is sitting on a cushion</span>'}",it-happened
2.0.0,VQA,525450003,"(2, 6)",,to sit,sitting,both people,"{'argument_phrase': 'both people', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">both people</span><span class=\\\\\\""predicate\\\\\\"">can sit on this chair</span>'}",it-happened
2.0.0,VQA,1204000,"(2, 7)",,to have a helmet on one's head,having a helmet on one's head,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">has a helmet on his head</span>'}",it-happened
2.0.0,VQA,528147000,"(2, 4)",,to appear dark,appearing dark,The picture,"{'argument_phrase': 'The picture', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The picture</span><span class=\\\\\\""predicate\\\\\\"">appears so dark</span>'}",it-happened
2.0.0,VQA,1216004,"(2, 5)",,to use an umbrella,using an umbrella,The person,"{'argument_phrase': 'The person', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The person</span><span class=\\\\\\""predicate\\\\\\"">is using an umbrella</span>'}",it-happened
2.0.0,VQA,1232001,"(5, 9)",,to drop down a ladder,dropping down a ladder,plane in the air,"{'argument_phrase': 'plane in the air', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">plane in the air</span><span class=\\\\\\""predicate\\\\\\"">is dropping down a ladder</span>'}",it-happened
2.0.0,VQA,525533002,"(2, 8)",,to sit,sitting,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">must sit in this kind of chair</span>'}",it-happened
2.0.0,VQA,109156000,"(3, 4)",,to be down,being down,animals' heads,"{'argument_phrase': ""animals' heads"", 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">animals\' heads</span><span class=\\\\\\""predicate\\\\\\"">are down</span>'}",it-happened
2.0.0,VQA,279373004,"(2, 5)",,to stop,stopping,This person,"{'argument_phrase': 'This person', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">This person</span><span class=\\\\\\""predicate\\\\\\"">stopped at this place</span>'}",it-happened
