hit_file_format_version,corpus_id,video_id,predicate_token_id,roleset,predicate_lemma,predicate_progressive,argnum,sentences_and_args_as_json,sampling_method
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000157125.jpg,"(2, 6)",,to be on their cell phones,being on their cell phones,These people,"{'argument_phrase': 'These people', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">These people</span><span class=\\\\\\""predicate\\\\\\"">are on their cell phones</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262705.jpg,"(1, 2)",,to be dark,being dark,It,"{'argument_phrase': 'It', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">It</span><span class=\\\\\\""predicate\\\\\\"">is dark</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262705.jpg,"(2, 3)",,to be blurry,being blurry,This photograph,"{'argument_phrase': 'This photograph', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">This photograph</span><span class=\\\\\\""predicate\\\\\\"">is blurry</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262705.jpg,"(2, 3)",,to be happy,being happy,The child,"{'argument_phrase': 'The child', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The child</span><span class=\\\\\\""predicate\\\\\\"">is happy</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524925.jpg,"(1, 5)",,to be on the runway,being on the runway,stripes on the runway,"{'argument_phrase': 'stripes on the runway', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">stripes on the runway</span><span class=\\\\\\""predicate\\\\\\"">are on the runway</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000000673.jpg,"(4, 6)",,to be upside down,being upside down,All of the surfboards,"{'argument_phrase': 'All of the surfboards', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">All of the surfboards</span><span class=\\\\\\""predicate\\\\\\"">are upside down</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000393922.jpg,"(2, 3)",,to say,saying,The subject is The sign,"{'argument_phrase': 'The subject is The sign', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The subject is The sign</span><span class=\\\\\\""predicate\\\\\\"">says SLOW</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000480717.jpg,"(2, 3)",,to be,"in the car 

being in the car",The police,"{'argument_phrase': 'The police', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The police</span><span class=\\\\\\""predicate\\\\\\"">are there</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000525012.jpg,"(2, 3)",,to smile,smiling,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is smiling</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000525015.jpg,"(1, 4)",,to use,using,He,"{'argument_phrase': 'He', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">He</span><span class=\\\\\\""predicate\\\\\\"">is using ski poles</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000393985.jpg,"(2, 4)",,to carry,carrying,These people,"{'argument_phrase': 'These people', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">These people</span><span class=\\\\\\""predicate\\\\\\"">are carrying umbrellas</span>'}",it-happened
